atm_col,dist_name,aic,bic,ks_stat,ks_p,param_0,param_1,param_2
ATM_01_Levent,Gamma,8614.00693067987,8625.706622740618,0.029927685692183986,0.8893743767064882,2.7415302597081315,39772.561968492446,22062.627130421148
ATM_02_Beşiktaş,LogNormal,8152.245604134728,8163.945296195475,0.03987901471067762,0.5929212693173431,0.3170890326943438,8652.690293993244,53576.97611640305
ATM_03_Şişli,LogNormal,8258.967839075769,8270.667531136516,0.03427819535404808,0.7710372001468546,0.29804201605713876,7997.275444663089,65974.11002654549
ATM_04_Fatih,LogNormal,8111.2577507999695,8122.957442860717,0.02565025669873572,0.9649518033329741,0.4045792652699378,17702.092826763153,39698.22991475564
ATM_05_Bağcılar,LogNormal,8657.594096080582,8669.293788141329,0.02493627675713672,0.9728646632212481,0.5126799009944633,28027.937124667547,66215.1012708034
ATM_06_Bakırköy,Gamma,7860.14754140468,7871.847233465427,0.03636939026132757,0.7056767463218764,3.1113987529633382,25900.409796434804,7249.165174187884
ATM_07_Zeytinburnu,LogNormal,8054.87147797304,8066.571170033787,0.0273294695869315,0.941019132884111,0.40349031861557544,15324.48962056953,36846.48813921588
ATM_08_Eyüpsultan,LogNormal,7918.327065796562,7930.026757857309,0.02384133551036799,0.9825327381134653,0.3848707034691309,12135.779187592365,32039.138186184147
ATM_09_Sarıyer,LogNormal,7863.687649295644,7875.3873413563915,0.024674637364591356,0.9754392852402035,0.3405711891645429,6600.336350069569,33595.528393593064
ATM_10_Maslak,Gamma,8464.436258861471,8476.135950922218,0.0293590527651999,0.9021174333549279,10.084154428217758,-6764.517059620106,8487.607361524455
ATM_11_Kadıköy,LogNormal,8286.953307039927,8298.652999100674,0.03873977740657564,0.6294460474213548,0.34356520432286586,15351.297000598755,59469.06154414491
ATM_12_Üsküdar,Gamma,8154.866523017725,8166.566215078472,0.030043120394007694,0.8866956895577651,3.493469156774552,28599.48116761124,10106.026338427757
ATM_13_Ataşehir,LogNormal,8710.860486128007,8722.560178188754,0.03855949147120585,0.6352520486734066,0.4685648993095057,25257.07323882545,77933.29498652325
ATM_14_Maltepe,LogNormal,7899.195051594469,7910.894743655216,0.0269660969941109,0.9468406203241878,0.348890226003286,14887.799500918294,34429.02965511405
ATM_15_Kartal,LogNormal,8109.186765263095,8120.8864573238425,0.023015361869868634,0.988016779040652,0.3715671851518025,12008.634779597198,43102.78505606804
ATM_16_Pendik,LogNormal,7888.242297089532,7899.941989150279,0.03568726565614855,0.7273242848963317,0.34654733944487776,7897.684890454504,34145.616701950305
ATM_17_Tuzla,Gamma,7940.496957170282,7952.196649231029,0.035290756354006136,0.7397827402741602,4.721228153250253,7284.954744377738,6302.047124295195
ATM_18_Beykoz,Gamma,7681.060388852702,7692.760080913449,0.02313642088415402,0.9873028120937642,3.560070581583581,14944.498527441177,5220.493796808838
ATM_19_Ümraniye,LogNormal,8202.167786288901,8213.867478349648,0.02422105729582602,0.9795043218908565,0.4182636185304645,20400.006304460727,43491.98512948013
ATM_20_Sultanbeyli,Gamma,7749.898088588248,7761.5977806489955,0.03603239230662014,0.7164014683845745,4.5060085430705765,14338.48854313477,4987.12056178933
