yontem,qubo_enerji,sure_sn,cozum
Kaba Kuvvet (Klasik),-2.6103,0.0003,"[1, 1, 1, 1, 0]"
QAOA Simülatör (p=3),-2.5599,7.9471,"[1, 1, 1, 1, 1]"
