n,n_edges,K_samples,K_errors,mean_grad,var_grad,std_grad,mean_energy,std_energy,log2_var
4,3,300,0,0.022775365959207504,0.012219794502507637,0.1105431793576955,-0.34831666205066686,0.19355369657873606,-6.354636165886983
5,5,200,0,0.010350146860797075,0.0018202150499383551,0.042663978365107436,-0.4640041521608762,0.1307034097145144,-9.101675376462564
6,6,150,0,0.002849163041172368,0.0014187367276701696,0.03766612174979221,-0.5027276854314299,0.1276968643321671,-9.461177388656061
7,8,100,0,0.004012545005516177,0.0009297861599453743,0.030492395116575775,-0.48915216516828786,0.10945569237379289,-10.070813428339571
8,13,60,0,0.006342491783837649,0.00047033887113004147,0.02168729746026557,-0.4824996650261351,0.08060394387028466,-11.054011810974329
10,31,30,0,0.006513629330073822,0.00012230073353900866,0.011058966205708771,-0.48696907394264816,0.04391607230387874,-12.997279322618603
